iter	Passed	Remaining
0	1	236
1	1	140
2	1	110
3	2	99
4	2	89
5	2	84
6	2	80
7	3	76
8	3	73
9	3	71
10	3	67
11	4	66
12	4	64
13	4	62
14	4	61
15	5	58
16	5	57
17	5	56
18	5	55
19	6	54
20	6	54
21	6	54
22	6	53
23	7	52
24	7	52
25	7	51
26	7	51
27	8	50
28	8	50
29	8	49
30	8	48
31	9	48
32	9	48
33	9	47
34	10	47
35	10	46
36	10	46
37	10	46
38	11	45
39	11	45
40	11	44
41	11	44
42	12	44
43	12	43
44	12	43
45	12	43
46	13	43
47	13	43
48	14	44
49	14	44
50	15	44
51	15	43
52	15	43
53	15	43
54	16	42
55	16	42
56	16	42
57	17	41
58	17	41
59	17	41
60	17	40
61	18	40
62	18	39
63	18	39
64	18	39
65	19	38
66	19	38
67	19	37
68	19	37
69	20	37
70	20	36
71	20	36
72	20	36
73	20	35
74	21	35
75	21	35
76	21	34
77	22	34
78	22	34
79	22	34
80	22	33
81	23	33
82	23	33
83	23	32
84	24	32
85	24	32
86	24	31
87	24	31
88	25	31
89	25	30
90	25	30
91	25	30
92	26	29
93	26	29
94	26	29
95	26	29
96	27	28
97	27	28
98	27	28
99	27	27
100	28	27
101	28	27
102	28	26
103	28	26
104	29	26
105	29	26
106	29	25
107	30	25
108	30	25
109	31	25
110	31	25
111	31	24
112	31	24
113	32	24
114	32	24
115	32	23
116	33	23
117	33	23
118	33	22
119	33	22
120	34	22
121	34	22
122	34	21
123	35	21
124	35	21
125	35	20
126	35	20
127	36	20
128	36	19
129	36	19
130	36	19
131	37	19
132	37	18
133	37	18
134	37	18
135	38	17
136	38	17
137	38	17
138	38	17
139	39	16
140	39	16
141	39	16
142	39	15
143	40	15
144	40	15
145	40	15
146	40	14
147	41	14
148	41	14
149	41	13
150	41	13
151	42	13
152	42	13
153	42	12
154	43	12
155	43	12
156	43	11
157	44	11
158	44	11
159	44	11
160	44	10
161	45	10
162	45	10
163	45	10
164	46	9
165	46	9
166	46	9
167	47	8
168	47	8
169	47	8
170	48	8
171	48	7
172	48	7
173	48	7
174	49	7
175	49	6
176	49	6
177	49	6
178	50	5
179	50	5
180	50	5
181	51	5
182	51	4
183	51	4
184	51	4
185	52	3
186	52	3
187	52	3
188	53	3
189	53	2
190	54	2
191	54	2
192	54	1
193	55	1
194	56	1
195	56	1
196	56	0
197	56	0
198	57	0
199	57	0
